x   y   z
0.57735026918962584  -0.57735026918962584  0.57735026918962584
0.57735026918962584  -0.57735026918962584  -0.57735026918962584
0.57735026918962584  0.57735026918962584  -0.57735026918962584
0.57735026918962584  0.57735026918962584  0.57735026918962584
-0.57735026918962584  0.57735026918962584  -0.57735026918962584
-0.57735026918962584  0.57735026918962584  0.57735026918962584
-0.57735026918962584  -0.57735026918962584  -0.57735026918962584
-0.57735026918962584  -0.57735026918962584  0.57735026918962584
1.00000000000000000  0.00000000000000000  0.00000000000000000
0.00000000000000000  1.00000000000000000  0.00000000000000000
-1.00000000000000000  0.00000000000000000  0.00000000000000000
0.00000000000000000  -1.00000000000000000  0.00000000000000000
0.00000000000000000  0.00000000000000000  1.00000000000000000
0.00000000000000000  0.00000000000000000  -1.00000000000000000
edgeO      edgeD       edgeLeft        edgeRight
0   1  0  3  
1   2  0  5  
2   3  0  1  
3   0  0  4  
2   4  1  5  
4   5  1  2  
5   3  1  4  
4   6  2  5  
6   7  2  3  
7   5  2  4  
6   1  3  5  
0   7  3  4  
faceverts
0 1 2 3
3 2 4 5
5 4 6 7
7 6 1 0
7 0 3 5
1 6 4 2
faceedges
0 1 2 3
2 4 5 6
5 7 8 9
8 10  0 11
11  3  6  9
10  7  4  1
facecenters
8
9
10
11
12
13
vertEdges
 0  3 11 -1
10  1  0 -1
 4 -1  2  1
 2  6 -1  3
-1  7  5  4
 5  9 -1  6
10  8  7 -1
 8 11 -1  9
